SNID,SURVEY,RA,DECL,SUBCLASS,REDSHIFT_FINAL,SIGMA_Z,LOG_HOSTMASS,LOG_HOSTMASS_ERR,LOWRV_GRI_T0,LOWRV_GRI_T0_ERR,LOWRV_GRI_MU,LOWRV_GRI_MU_ERR,LOWRV_GRI_THETA,LOWRV_GRI_THETA_ERR,LOWRV_GRI_AV,LOWRV_GRI_AV_ERR,HIGHRV_GRI_T0,HIGHRV_GRI_T0_ERR,HIGHRV_GRI_MU,HIGHRV_GRI_MU_ERR,HIGHRV_GRI_THETA,HIGHRV_GRI_THETA_ERR,HIGHRV_GRI_AV,HIGHRV_GRI_AV_ERR,LOWRV_GRIZ_T0,LOWRV_GRIZ_T0_ERR,LOWRV_GRIZ_MU,LOWRV_GRIZ_MU_ERR,LOWRV_GRIZ_THETA,LOWRV_GRIZ_THETA_ERR,LOWRV_GRIZ_AV,LOWRV_GRIZ_AV_ERR,HIGHRV_GRIZ_T0,HIGHRV_GRIZ_T0_ERR,HIGHRV_GRIZ_MU,HIGHRV_GRIZ_MU_ERR,HIGHRV_GRIZ_THETA,HIGHRV_GRIZ_THETA_ERR,HIGHRV_GRIZ_AV,HIGHRV_GRIZ_AV_ERR
2021nsh,YSE,333.86416,5.544722,SNIa-norm,0.08326193449469632,1.03e-05,-9999.0,-9999.0,59373.014800000004,0.2303496472747981,37.4557736,0.1143365061694646,1.1589978605,0.4319581144701121,0.9843001379999999,0.11408395626527401,59373.01840000001,0.26007968009751176,37.255146,0.13231849418732064,1.14665943795,0.46925047881379756,1.19999674,0.15091072518014217,59373.03160000001,0.27236269935431034,37.4602868,0.11126229642497949,1.14905912272,0.46418336385859543,0.984514521,0.11753526804689543,59373.00400000001,0.24237161549908745,37.2501419,0.13458214500590346,1.1532574463,0.4381216960949944,1.200617639,0.1459060098952359
2021nsi,YSE,315.944858,-0.960106,SNIa-norm,0.1283295125456425,0.01,-9999.0,-9999.0,59368.722799999996,0.8358708991225959,38.7831133,0.12220946147131974,-0.33324473358199996,0.38767169716457384,0.1338320050359,0.10388186827788173,59368.7299,0.8461772804797206,38.7835356,0.13326045554717256,-0.335039395411,0.38484732101644203,0.137554417987,0.10904221149415583,59368.8284,0.8640795333764183,38.8331807,0.10526559123241559,-0.421647126318,0.3598607001888383,0.12473948117,0.09860412409810648,59368.853200000005,0.9096426551123363,38.805623,0.11607491844063486,-0.38620166069000006,0.3469227273980214,0.12981291308313,0.10258734100582219
2021nyt,YSE,245.807564,26.47594,SNIa-norm,0.06476156915194978,9.41e-06,11.216746227865409,0.11404663238603656,59376.6512,0.2699602933766408,37.0702609,0.06692976498681254,1.064058995,0.19437394656619744,0.283339021,0.061953318813591896,59376.64230000001,0.2712576450534441,37.0189087,0.0813026203409828,1.053183143,0.1987107658842433,0.3436418344,0.07957168431390865,59376.6593,0.27905825556690456,37.062130800000006,0.05478809497838024,1.0904493270000002,0.18031004117079025,0.292446362,0.05685414461666762,59376.6473,0.2532048775202058,37.0076817,0.06420483840887689,1.0801113789999999,0.17967816147288285,0.347543604,0.07008719305936845
2021oal,YSE,237.166533,20.059356,SNIa-norm,0.09438222758759328,1.06e-05,-9999.0,-9999.0,59376.0011,0.6621848608961372,38.618708700000006,0.07319232401222135,-2.139347119,0.33646684208866834,0.00939605016603,0.008706241822391875,59375.99190000001,0.6536393424512212,38.6126316,0.07004055269227956,-2.15844611,0.3380127730251742,0.012099279942799999,0.011754602557314591,59375.9875,0.6864792422207814,38.6118079,0.06489339571628223,-2.155451411,0.3219410755099915,0.0098056220358,0.009636336582318243,59375.965200000006,0.6560860919117946,38.6105544,0.06609132046373409,-2.16461366,0.3278214072424258,0.012352602167100001,0.01218555299957614
2021oat,YSE,195.034431,28.170293,SNIa-norm,0.02398005622943323,6.67e-06,-9999.0,-9999.0,59377.493299999995,0.1885871416609688,35.0336423,0.03728745044529055,-0.793056899,0.1557695001895647,0.01853948863,0.018097628788333854,59377.4998,0.18072066843568163,35.02359330000001,0.03619892519274551,-0.779810702,0.1507365695467135,0.0218247379452,0.01926602037575792,59377.138199999994,0.12075081780280915,34.9826958,0.03581459342726126,-0.598093611,0.10908681738047764,0.0165526272679,0.014340584451519258,59377.13189999999,0.1375223254602354,34.9831837,0.027418985471931945,-0.598404724,0.10066614006934915,0.0183047717294,0.014847982855640767
2021oaw,YSE,188.534174,3.824729,SNIa-norm,0.08139177403855836,2.15e-05,10.866662716623892,0.05511338050042966,59375.1944,0.6852799719823033,37.9145993,0.09729149063258298,1.981180805,0.3900608004559327,0.491371495,0.09188942457279822,59375.1675,0.6666136437246948,37.792643,0.12235662373161486,1.974824316,0.39776147262390577,0.617497924,0.11964013878031163,59375.24480000001,0.6890957553200598,37.9334234,0.08845304196261428,1.9136906939999998,0.3717584418865056,0.48798082899999995,0.09148683717179079,59375.244300000006,0.6788133101231387,37.831623099999995,0.10737647515349906,1.846896576,0.3552335798228628,0.604373917,0.11313397550005971
2021oez,YSE,227.453641,0.533519,SNIa-norm,0.039687222551809495,9e-05,-9999.0,-9999.0,59379.8181,0.27644599834335615,36.0675509,0.042337579751209276,1.551091406,0.19024138129352183,0.0378155514038,0.03139895365213751,59379.8224,0.2971838488210296,36.0630846,0.05071688439602714,1.55201437,0.18889684278198804,0.048115073072000004,0.03749296556457585,59379.8367,0.34496827390353096,36.069539600000006,0.04505728300552526,1.49386752,0.17989598902212803,0.0422217999995,0.03405057462762426,59379.8171,0.34134672988039855,36.062578200000004,0.028347221464545828,1.475361864,0.17193240597206072,0.046840376299500004,0.03665596101125764
2021ofq,YSE,209.871336,35.422781,SNIa-norm,0.11889061598741087,0.01,-9999.0,-9999.0,59381.3629,0.7586920257917112,38.556956299999996,0.0895606366676232,-0.7804338518799999,0.40130271864931055,0.0548019212651,0.04896283929850474,59381.3632,0.7303189440238272,38.560484100000004,0.09033590934501065,-0.78242420506,0.38435760258710683,0.0618392252979,0.05792978852316582,59381.3821,0.8128773523724988,38.5650825,0.09225645193562322,-0.8103926787999999,0.3694461610639591,0.054777058745399995,0.053916090275072374,59381.3276,0.7344101306490528,38.5692605,0.09051330625797525,-0.8149098975899999,0.39042256977093115,0.060357824228,0.053219506717666454
2021ojn,YSE,220.208679,42.253241,SNIa-norm,0.08091771274646276,9.62e-06,10.655362137524687,0.134941572456127,59382.4977,0.46703823183978943,37.79418089999999,0.0615333932526887,-0.481375134238,0.3512462829346997,0.053670854438,0.04101266723483049,59382.503,0.41565731077430407,37.777064599999996,0.0665364175984851,-0.475293600255,0.32126119820620785,0.06870964619,0.04922455433728743,59382.54340000001,0.42151683240409726,37.798494399999996,0.054646898435684356,-0.459891245964,0.31428462809502705,0.05268850272,0.038887547413784404,59382.5126,0.39942613835350543,37.7754594,0.06162310955834685,-0.47704338040000005,0.32876183060182074,0.070010432164,0.05022752992723254
2021orm,YSE,239.183639,25.674094,SNIa-norm,0.0742117401765991,2e-05,10.758326401095884,0.07298204732358676,59377.814900000005,0.4059655034606579,37.36222360000001,0.07547555208834177,0.5252688450299999,0.25400335387418893,0.29634331910000006,0.07584443114622316,59377.806,0.4016764867402105,37.29174030000001,0.08778254510954897,0.5259279010279999,0.23854937366621157,0.3711189389,0.0889333094536534,59377.683600000004,0.4279381263687563,37.3604373,0.06876959603422134,0.47311602267,0.2340135997284876,0.316986211,0.06573252975871596,59377.69959999999,0.406447831830847,37.2897468,0.07573398424591184,0.46065452182999994,0.23501922038571946,0.391158355,0.08308285921457552
