SNID,SURVEY,REDSHIFT_FINAL,SIGMA_Z,LOG_HOSTMASS,LOG_HOSTMASS_ERR,PEAKMAG_G_DUSTCORR,PEAKMAG_G_DUSTCORR_ERR,PEAKMAG_G_DUSTCORR_THETACORR,PEAKMAG_G_DUSTCORR_THETACORR_ERR,G_EXT,PEAKMAG_R_DUSTCORR,PEAKMAG_R_DUSTCORR_ERR,PEAKMAG_R_DUSTCORR_THETACORR,PEAKMAG_R_DUSTCORR_THETACORR_ERR,R_EXT,PEAKMAG_I_DUSTCORR,PEAKMAG_I_DUSTCORR_ERR,PEAKMAG_I_DUSTCORR_THETACORR,PEAKMAG_I_DUSTCORR_THETACORR_ERR,I_EXT,PEAKMAG_Z_DUSTCORR,PEAKMAG_Z_DUSTCORR_ERR,PEAKMAG_Z_DUSTCORR_THETACORR,PEAKMAG_Z_DUSTCORR_THETACORR_ERR,Z_EXT
ASASSN-15np,FOUNDATION,0.03827271064971221,4.5e-05,10.232334656214883,0.11756550512042273,17.112368594933184,0.019540957428804278,17.017581774199975,0.07152664165699396,0.2687027139122165,17.161186830607768,0.023841376428779065,17.061424149407856,0.06363978436286061,0.17735335793063553,17.81019186788406,0.02400069609189188,17.784053074695937,0.02579875456677735,0.12815498501154507,17.72560227777335,0.03786754801682044,17.59991717463981,0.05347163616571434,0.10308171757705846
ASASSN-15nq,FOUNDATION,0.030148523616294574,1.2e-05,10.582509700533613,0.23473374820730125,16.392480355975753,0.030689433503231365,16.33171044230084,0.06956385623001464,0.0913560267626507,16.53156177432286,0.013216412878675348,16.503529615423474,0.02621700921471968,0.060298230254757675,17.166974421700125,0.023769705471930053,17.191760719355276,0.035144164015636685,0.04357131370212604,17.16476167218671,0.027130282263853497,17.22789706934481,0.03318508848929905,0.035046673003780206
ASASSN-15nr,FOUNDATION,0.02309024064908264,0.000183,10.284114265806844,0.14912952709163593,15.94361677856427,0.020512520037793747,16.13408231131265,0.06908889510677914,0.34044968037155304,15.89544043191241,0.019125398443030413,15.995181650973114,0.04698177335982263,0.22470891023464784,16.615164970042674,0.0315417127297423,16.639581414974074,0.037715979698556064,0.16237395986798797,16.424382651816117,0.021699097651453034,16.529244566221077,0.031451254157951955,0.1306058181932814
ASASSN-15od,FOUNDATION,0.01696970642270127,1.3e-05,9.289393763860742,0.29207884178566257,15.327927859565026,0.012810407429226612,15.194434472259008,0.050216997766580916,0.0767169357027732,15.444443318330887,0.011839541698332866,15.336961345169904,0.024985425831771817,0.050635908952823175,16.06673626533782,0.026799462217441825,16.049508046618232,0.05248102598924624,0.03658935037155043,16.082227197666537,0.01493683196552124,16.049978799815964,0.08176424352254377,0.029430716885405744
ASASSN-15oh,FOUNDATION,0.015558563517965484,0.000107,10.555770239314795,0.09702507252622189,16.05080257094715,0.01795566299009776,15.968019834984588,0.05743484020221497,0.24208691763209259,15.990984776145845,0.025939061890594976,15.799850102018393,0.07261007718172406,0.15978598477109304,16.37553685017166,0.04031128617584674,16.281768266227576,0.06776405116876082,0.11546085578714152,16.20381021946048,0.0679803881261566,16.029845450719513,0.05427067799662356,0.09287116943896792
ASASSN-15pm,FOUNDATION,0.04759399250797697,0.00015,10.741753549560203,0.07307801971092368,17.265666353774282,0.01566143949936049,17.354001182439504,0.050328496635897765,0.07960365921280568,17.368437209550162,0.021242276190786436,17.404046816739513,0.04455793043227766,0.05254124924681376,18.199609088756173,0.028726856323279933,18.246549709065132,0.03614490525747548,0.03796614334388173,17.97111839685838,0.03627471459477881,18.022392821841834,0.07578092924038564,0.030538143056327998
ASASSN-15pn,FOUNDATION,0.038049689695662726,5e-06,9.46022210227995,0.08084869941116253,17.40623010068337,0.021832998050508645,17.6030316935856,0.10187531443632382,0.11987574450535318,17.339537828200175,0.014314210160872585,17.430659244870885,0.031173633455250857,0.07912225936580956,18.058361757883578,0.02921189756750696,18.130049416249992,0.03529779794558298,0.057173498609880934,17.95141503419591,0.09592296818488973,18.024967564157272,0.09817539874433429,0.04598761754031777
ASASSN-15pr,FOUNDATION,0.032031993279830945,0.00015,10.074493035152699,0.08462873239088477,16.88828715560262,0.04250627900625497,16.899588774519188,0.070031776486553,0.10706108720989313,16.901464295781384,0.023496051029991354,16.89944603988136,0.01919746050224353,0.07066412930456038,17.551898040191496,0.04914934037671598,17.53184561157236,0.06126441595956806,0.05106168012573906,17.79700277778542,0.0361770609291408,17.70100533418051,0.04755968839985479,0.041071564163168206
ASASSN-15sf,FOUNDATION,0.02361537060415309,0.001,-9999.0,-9999.0,15.871990388064134,0.012178191609187655,15.946316433362217,0.06194453597124779,0.14785224333958127,16.05757324160576,0.0179382011988301,16.207854460197755,0.031529861850400874,0.09758774465679113,16.80073451161663,0.017889924643154816,16.896442280292373,0.02455160168011126,0.07051660086804165,16.747318071049698,0.04818945989010525,16.92338994579364,0.040171370383768196,0.0567201684313629
ASASSN-15so,FOUNDATION,0.00864958383976424,1.06e-05,-9999.0,-9999.0,13.57765672437974,0.01596206213418539,13.454276615661687,0.03298866448722747,0.16623566989585967,13.691172452660089,0.01104454631961848,13.607748449082086,0.03108739319650975,0.1097214606976806,14.316778202119202,0.010550379454528034,14.257150014482106,0.020910724396841062,0.07928438635289672,14.374397375817226,0.01206082981304201,14.3435422674546,0.03366863786910999,0.06377255415825947
