SNID,SURVEY,RA,DECL,SUBCLASS,REDSHIFT_FINAL,SIGMA_Z,LOG_HOSTMASS,GRIZ_MU,GRIZ_MU_ERR,GRIZ_AV,GRIZ_AV_ERR,GRIZ_THETA,GRIZ_THETA_ERR,GRIZ_T0,GRIZ_T0_ERR,GRIZ_REDCHI2,GRI_MU,GRI_MU_ERR,GRI_T0,GRI_T0_ERR,GRI_THETA,GRI_THETA_ERR,GRI_AV,GRI_AV_ERR,Z_MU,Z_MU_ERR,Z_THETA,Z_THETA_ERR,N_G_OBS,FIRST_G_OBS,N_R_OBS,FIRST_R_OBS,N_I_OBS,FIRST_I_OBS,N_Z_OBS,FIRST_Z_OBS
2020atv,YSE,151.274933,-12.126594,SNIa-norm,0.079514208459507,-9999.0,-9999.0,37.8787411,0.08346348279810742,0.101711567167,0.0649964018217985,-0.78802081261,0.42106822038127,58878.5337,0.5910450998020771,0.578309098845413,37.8621037,0.08242142182897608,58878.6253,0.6091058282433671,-0.823676429201,0.426371691843111,0.114211963793,0.0737186006919338,37.979286200000004,0.1781332855183443,0.01412834333,1.0243672535787425,5,58868.52,3,58872.44,3,58868.52,1,58884.47
2020azn,YSE,141.918521,35.530075,SNIa-norm,0.14307141108933435,-9999.0,-9999.0,39.1188329,0.19976664933764582,0.17913855420900002,0.16127127565512178,0.074146640788,0.6970439799232319,58883.162800000006,2.944210617466147,0.002583244727298411,39.1201922,0.20951514517848113,58883.1416,2.8404734534933853,0.064417365013,0.7387433086025228,0.17569438915399999,0.15810668152758145,nan,nan,nan,nan,2,58874.58,1,58874.58,1,58877.47,0,nan
2020azs,YSE,143.439971,33.028124,SNIa-norm,0.13794403059999596,2.57e-05,-9999.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,nan,0,nan,0,nan
2020azt,YSE,193.425758,-4.441503,SNIa-norm,0.14677437282294806,-9999.0,-9999.0,38.872749899999995,0.1821720496673133,0.1904025657583,0.17995478276490395,0.00898498119000001,0.7105249906225558,58884.5547,1.7633711776026444,0.022513469900770747,38.9695167,0.21659034897961185,58883.69290000001,3.2393517237249294,0.04726211586,0.7973588701369333,0.19002435212,0.165577238890749,38.9345814,0.16636578576750707,0.003172597120000002,0.9917774431385478,3,58874.59,1,58874.59,1,58877.58,1,58882.6
2020cyz,YSE,213.114037,-5.82343,SNIa-norm,0.105350615591537,-9999.0,-9999.0,38.2798376,0.15068115391859738,0.1451871250708,0.1297807102292508,-0.19532948787,0.43645765710737106,58914.9499,3.0921157788801854,0.986799759854289,38.257400000000004,0.15220039829120027,58913.2895,3.501696695889054,-0.42719269933500004,0.46587124342401715,0.1369989089,0.12238565289385,38.7387285,0.29688789105948726,-0.013984365510999993,1.024643357400643,2,58933.53,3,58937.56,3,58933.53,1,58937.56
2020dow,YSE,137.983396,27.900481,SNIa-norm,0.04884272305476077,1.04e-05,-9999.0,36.484448799999996,0.07282217284975784,0.11661829932000001,0.07676901959372004,-0.40844436362,0.2546842304736446,58919.7798,0.7049481966783928,0.4503166898961595,36.4646325,0.07632891518782384,58919.8679,0.6840026242640631,-0.38343941829999995,0.2529630622177773,0.12535668622,0.07926097642938223,36.479930200000005,0.19560924070186456,0.044018141920000003,0.9929311895283075,4,58930.24,4,58919.41,3,58919.41,1,58947.34
2020duv,YSE,241.255767,27.260274,SNIa-91T-like,0.04534470310123679,2.09e-05,-9999.0,36.220197799999994,0.09165698235901061,0.22454243208999997,0.10714304802968058,-1.013629706,0.19805137094425163,58926.657900000006,0.6609974205698548,0.6989547713159302,36.2263442,0.0910046437626123,58927.23330000001,0.7234093654357057,-0.978946463,0.20736991395324114,0.22174553262000002,0.10595967205557902,36.3152136,0.09334401177922458,-0.684018690728,0.4791228776692037,7,58937.62,5,58918.61,4,58918.61,3,58941.54
2020dwg,YSE,239.603346,32.968919,SNIa-norm,0.04759212454904386,8.28e-06,11.023333832865697,36.4409168,0.08974997402651433,0.33244027099999995,0.10663809943872986,0.108480784074,0.23328036344057598,58922.633700000006,1.0232958076725616,0.3380125635084326,36.435183699999996,0.09931223310504088,58922.4815,0.981981542596489,0.08620858480279998,0.22778813126119785,0.32514443010000005,0.11786128211218325,36.7314397,0.18589465638880012,-0.38796889244,0.6303002194642809,7,58931.57,6,58918.61,4,58918.61,2,58950.59
2020dxa,YSE,239.67955,26.819344,SNIa-norm,0.01476711598928883,3.91e-06,10.55967056587306,33.8899459,0.05716753364620514,0.0725125272983,0.04916657775426624,0.29735577627,0.18136266715598914,58922.2215,0.4807158724236855,0.38185428281604755,33.838244100000004,0.0971261633402145,58922.2577,0.4376307918782147,0.091236299206,0.2505194858627398,0.185322375473,0.09534174035081411,33.9627764,0.08480464092866614,0.126123146553,0.253661547571426,3,58931.52,3,58918.61,3,58918.61,4,58941.54
2020dyc,YSE,219.975025,-7.688293,SNIa-norm,0.07071512119227495,-9999.0,-9999.0,37.627070599999996,0.12405093041021502,0.08662330923499999,0.07346385827951149,0.294504024277,0.4342149103325547,58916.5222,3.2791534212353333,1.0462897681909546,37.6329748,0.13150083073866875,58916.0621,3.5327062699862872,0.19229350561,0.4326067116738798,0.081331049737,0.06855223726156777,nan,nan,nan,nan,1,58929.59,3,58929.59,3,58933.53,0,nan
